,report_label,file_name,text_raw,text_partial_preprocessed,text_fully_preprocessed,page_num,is_relevant
0,ASTON MARTIN LAGONDA GLOBAL HOLDING 2021,ASTON_MARTIN_LAGONDA_GLOBAL_HOLDING_2021.pdf,"02

BUSINESS AT A GLANCE

DELIVERING STAKEHOLDER VALUE AS AN 

ULTRA-LUXURY BRITISH PERFORMANCE BRAND

third-party dealer locations 

2,207employees
168
6,178
£1.1bntotal revenue
95%of vehicles produced are  

number of vehicles wholesaled

still on the road today

OUR CORE MODELS

ABOUT US
Aston Martin’s vision is to be the world’s most 
desirable, ultra-luxury British performance 
brand, creating the most exquisitely addictive 
performance cars.","02 BUSINESS AT A GLANCE DELIVERING STAKEHOLDER VALUE AS AN ULTRA-LUXURY BRITISH PERFORMANCE BRAND third-party dealer locations 2,207employees 168 6,178 £1.1bntotal revenue 95%of vehicles produced are number of vehicles wholesaled still on the road today OUR CORE MODELS ABOUT US Aston Martin’s vision is to be the world’s most desirable, ultra-luxury British performance brand, creating the most exquisitely addictive performance cars.",02 business glance delivering stakeholder value ultraluxury british performance brand thirdparty dealer location 2207employees 168 6178 11bntotal revenue 95of vehicle produced number vehicle wholesaled still road today core model u aston martin vision world desirable ultraluxury british performance brand creating exquisitely addictive performance car,4,
1,ASTON MARTIN LAGONDA GLOBAL HOLDING 2021,ASTON_MARTIN_LAGONDA_GLOBAL_HOLDING_2021.pdf,"Founded in 1913 by Lionel Martin and Robert 
Bamford, Aston Martin is acknowledged as an 
iconic global brand synonymous with style, 
luxury, performance and exclusivity.","Founded in 1913 by Lionel Martin and Robert Bamford, Aston Martin is acknowledged as an iconic global brand synonymous with style, luxury, performance and exclusivity.",founded 1913 lionel martin robert bamford aston martin acknowledged iconic global brand synonymous style luxury performance exclusivity,4,
2,ASTON MARTIN LAGONDA GLOBAL HOLDING 2021,ASTON_MARTIN_LAGONDA_GLOBAL_HOLDING_2021.pdf,"Aston Martin 
fuses the latest technology, time-honoured 
craftsmanship and beautiful styling to produce 
a range of critically-acclaimed luxury models 
including the Vantage, DB11, DBS and DBX 
and its first hypercar, the Aston Martin Valkyrie.","Aston Martin fuses the latest technology, time-honoured craftsmanship and beautiful styling to produce a range of critically-acclaimed luxury models including the Vantage, DB11, DBS and DBX and its first hypercar, the Aston Martin Valkyrie.",aston martin fuse latest technology timehonoured craftsmanship beautiful styling produce range criticallyacclaimed luxury model including vantage db11 db dbx first hypercar aston martin valkyrie,4,
3,ASTON MARTIN LAGONDA GLOBAL HOLDING 2021,ASTON_MARTIN_LAGONDA_GLOBAL_HOLDING_2021.pdf,"Based in Gaydon, England, Aston Martin 
Lagonda designs, creates and exports cars which 
are sold in 56 countries around the world.","Based in Gaydon, England, Aston Martin Lagonda designs, creates and exports cars which are sold in 56 countries around the world.",based gaydon england aston martin lagonda design creates export car sold 56 country around world,4,
4,ASTON MARTIN LAGONDA GLOBAL HOLDING 2021,ASTON_MARTIN_LAGONDA_GLOBAL_HOLDING_2021.pdf,"Its sports 
cars are manufactured in Gaydon with its luxury 
SUV range manufactured in St Athan, Wales.","Its sports cars are manufactured in Gaydon with its luxury SUV range manufactured in St Athan, Wales.",sport car manufactured gaydon luxury suv range manufactured st athan wale,4,
5,ASTON MARTIN LAGONDA GLOBAL HOLDING 2021,ASTON_MARTIN_LAGONDA_GLOBAL_HOLDING_2021.pdf,"Lagonda was founded in 1899 and Aston  
Martin in 1913.",Lagonda was founded in 1899 and Aston Martin in 1913.,lagonda founded 1899 aston martin 1913,4,
6,ASTON MARTIN LAGONDA GLOBAL HOLDING 2021,ASTON_MARTIN_LAGONDA_GLOBAL_HOLDING_2021.pdf,"The two brands came together 
in 1947 when both were purchased by the late 
Sir David Brown, and the Company is now listed 
on the London Stock Exchange as Aston Martin 
Lagonda Global Holdings plc.","The two brands came together in 1947 when both were purchased by the late Sir David Brown, and the Company is now listed on the London Stock Exchange as Aston Martin Lagonda Global Holdings plc.",two brand came together 1947 purchased late sir david brown company listed london stock exchange aston martin lagonda global holding plc,4,
7,ASTON MARTIN LAGONDA GLOBAL HOLDING 2021,ASTON_MARTIN_LAGONDA_GLOBAL_HOLDING_2021.pdf,"2020 saw Lawrence Stroll become the  
Company’s Executive Chairman, alongside  
significant  new  investment,  a  move  that  
led to Aston Martin’s return to the pinnacle of 
motorsport through sponsorship of the Aston 
Martin Cognizant Formula One™ Team and 
ushered in a new era for the iconic British marque.","2020 saw Lawrence Stroll become the Company’s Executive Chairman, alongside significant new investment, a move that led to Aston Martin’s return to the pinnacle of motorsport through sponsorship of the Aston Martin Cognizant Formula One™ Team and ushered in a new era for the iconic British marque.",2020 saw lawrence stroll become company executive chairman alongside significant new investment move led aston martin return pinnacle motorsport sponsorship aston martin cognizant formula one team ushered new era iconic british marque,4,
8,ASTON MARTIN LAGONDA GLOBAL HOLDING 2021,ASTON_MARTIN_LAGONDA_GLOBAL_HOLDING_2021.pdf,"03

OUR GEOGRAPHICAL FOOTPRINT AND NETWORK 

AMERICAS

UK1

ASIA PACIFIC

Aston Martin dealers*
44

(2020: 43)

Aston Martin dealers* 
22

(2020: 22)

Aston Martin dealers*
49

(2020: 50)

Wholesale volumes
1,984

(2020: 923)

Wholesale volumes
1,109

(2020: 820)

Wholesale volumes
1,815

(2020: 786)

EMEA2

Wholesale volumes breakdown by region 2021

Aston Martin dealers*
53 

(2020: 52)

Wholesale volumes
1,270

(2020: 865)

 AMERICAS
 UK
 ASIA PACIFIC
 EMEA

32.1%
18.0%
29.5%
20.5%

%

all dealers are third-party dealers

* 
1.","03 OUR GEOGRAPHICAL FOOTPRINT AND NETWORK AMERICAS UK1 ASIA PACIFIC Aston Martin dealers* 44 (2020: 43) Aston Martin dealers* 22 (2020: 22) Aston Martin dealers* 49 (2020: 50) Wholesale volumes 1,984 (2020: 923) Wholesale volumes 1,109 (2020: 820) Wholesale volumes 1,815 (2020: 786) EMEA2 Wholesale volumes breakdown by region 2021 Aston Martin dealers* 53 (2020: 52) Wholesale volumes 1,270 (2020: 865) AMERICAS UK ASIA PACIFIC EMEA 32.1% 18.0% 29.5% 20.5% % all dealers are third-party dealers * 1.",03 geographical footprint network america uk1 asia pacific aston martin dealer 44 2020 43 aston martin dealer 22 2020 22 aston martin dealer 49 2020 50 wholesale volume 1984 2020 923 wholesale volume 1109 2020 820 wholesale volume 1815 2020 786 emea2 wholesale volume breakdown region 2021 aston martin dealer 53 2020 52 wholesale volume 1270 2020 865 america uk asia pacific emea 321 180 295 205 dealer thirdparty dealer 1,5,
9,ASTON MARTIN LAGONDA GLOBAL HOLDING 2021,ASTON_MARTIN_LAGONDA_GLOBAL_HOLDING_2021.pdf,"UK includes South Africa
2.",UK includes South Africa 2.,uk includes south africa 2,5,
