,report_label,file_name,text_raw,text_partial_preprocessed,text_fully_preprocessed,page_num,is_relevant
0,CHEMRING GROUP 2021,CHEMRING_GROUP_2021.pdf,"OUR PURPOSE
Chemring helps to make the world a safer place.",OUR PURPOSE Chemring helps to make the world a safer place.,purpose chemring help make world safer place,2,
1,CHEMRING GROUP 2021,CHEMRING_GROUP_2021.pdf,"Across physical and digital environments 
our exceptional teams deliver innovative 
protective technologies to detect and 
defeat ever changing threats.",Across physical and digital environments our exceptional teams deliver innovative protective technologies to detect and defeat ever changing threats.,across physical digital environment exceptional team deliver innovative protective technology detect defeat ever changing threat,2,
2,CHEMRING GROUP 2021,CHEMRING_GROUP_2021.pdf,"Read more on pages 4 to 9 

OUR STRATEGY
Our strategy is to deliver profitable growth 
by operating in markets where we have 
differentiators such as niche technology 
and high barriers to entry.",Read more on pages 4 to 9 OUR STRATEGY Our strategy is to deliver profitable growth by operating in markets where we have differentiators such as niche technology and high barriers to entry.,read page 4 9 strategy strategy deliver profitable growth operating market differentiator niche technology high barrier entry,2,
3,CHEMRING GROUP 2021,CHEMRING_GROUP_2021.pdf,"Read more on pages 26 and 27 

TARGET GROWING 
NICHES

WIN MARKET  
SHARE

GROW OUR 
US BUSINESS

VALUES

SAFETY
We place safety 
at the heart of 
everything we do.",Read more on pages 26 and 27 TARGET GROWING NICHES WIN MARKET SHARE GROW OUR US BUSINESS VALUES SAFETY We place safety at the heart of everything we do.,read page 26 27 target growing niche win market share grow u business value safety place safety heart everything,2,
4,CHEMRING GROUP 2021,CHEMRING_GROUP_2021.pdf,"EXCELLENCE
We are focused 
on ensuring we 
consistently meet 
high standards in 
all that we do.",EXCELLENCE We are focused on ensuring we consistently meet high standards in all that we do.,excellence focused ensuring consistently meet high standard,2,
5,CHEMRING GROUP 2021,CHEMRING_GROUP_2021.pdf,"INNOVATION
We create world-
class solutions and 
develop world-class 
thinking.",INNOVATION We create world- class solutions and develop world-class thinking.,innovation create world class solution develop worldclass thinking,2,
6,CHEMRING GROUP 2021,CHEMRING_GROUP_2021.pdf,"2021 PERFORMANCE

FINANCIAL HIGHLIGHTS
REVENUE 

£393.3m

(-2%) (+1% at constant currency)
Increase in revenue at constant currency 
driven by strong performance in the Sensors & 
Information segment and stable performance 
in Countermeasures & Energetics.",2021 PERFORMANCE FINANCIAL HIGHLIGHTS REVENUE £393.3m (-2%) (+1% at constant currency) Increase in revenue at constant currency driven by strong performance in the Sensors & Information segment and stable performance in Countermeasures & Energetics.,2021 performance financial highlight revenue 3933m 2 1 constant currency increase revenue constant currency driven strong performance sensor information segment stable performance countermeasure energetics,3,
7,CHEMRING GROUP 2021,CHEMRING_GROUP_2021.pdf,"UNDERLYING OPERATING PROFIT*

£57.5m

(+5%) (+10% at constant currency)
Reflects the growth of the higher margin 
Sensors & Information segment as well as 
the increasing margin in Countermeasures 
& Energetics through improving operational 
performance, offset by a foreign 
currency headwind.","UNDERLYING OPERATING PROFIT* £57.5m (+5%) (+10% at constant currency) Reflects the growth of the higher margin Sensors & Information segment as well as the increasing margin in Countermeasures & Energetics through improving operational performance, offset by a foreign currency headwind.",underlying operating profit 575m 5 10 constant currency reflects growth higher margin sensor information segment well increasing margin countermeasure energetics improving operational performance offset foreign currency headwind,3,
8,CHEMRING GROUP 2021,CHEMRING_GROUP_2021.pdf,"CASH CONVERSION

105%

(2020: 110%)
Continued strong cash conversion, with an 
average of 108% on a rolling 24 month basis 
(2020: 108%), driven by a continued focus 
on working capital disciplines.","CASH CONVERSION 105% (2020: 110%) Continued strong cash conversion, with an average of 108% on a rolling 24 month basis (2020: 108%), driven by a continued focus on working capital disciplines.",cash conversion 105 2020 110 continued strong cash conversion average 108 rolling 24 month basis 2020 108 driven continued focus working capital discipline,3,
9,CHEMRING GROUP 2021,CHEMRING_GROUP_2021.pdf,"-4.6%
STATUTORY OPERATING PROFIT

£50.4m

(+9%) (+14% at constant currency)
The difference to underlying operating 
profit reflects the amortisation of acquired 
intangible assets and acquisition expenses 
which are the only items treated as 
non-underlying in 2021.",-4.6% STATUTORY OPERATING PROFIT £50.4m (+9%) (+14% at constant currency) The difference to underlying operating profit reflects the amortisation of acquired intangible assets and acquisition expenses which are the only items treated as non-underlying in 2021.,46 statutory operating profit 504m 9 14 constant currency difference underlying operating profit reflects amortisation acquired intangible asset acquisition expense item treated nonunderlying 2021,3,
