,report_label,file_name,text_raw,text_partial_preprocessed,text_fully_preprocessed,page_num,is_relevant
0,HAYS 2021,HAYS_2021.pdf,"We have all lived through a year like no other, and  
‘Our Hays Story’ in FY21 was different to any in our 53 
years.","We have all lived through a year like no other, and ‘Our Hays Story’ in FY21 was different to any in our 53 years.",lived year like hay story fy21 different 53 year,2,
1,HAYS 2021,HAYS_2021.pdf,"It began in the toughest backdrop we have ever 
faced.",It began in the toughest backdrop we have ever faced.,began toughest backdrop ever faced,2,
2,HAYS 2021,HAYS_2021.pdf,"It ended with businesses increasingly confident  
and hiring for growth, candidate confidence rising and skill 
shortages evident in all our key markets.","It ended with businesses increasingly confident and hiring for growth, candidate confidence rising and skill shortages evident in all our key markets.",ended business increasingly confident hiring growth candidate confidence rising skill shortage evident key market,2,
3,HAYS 2021,HAYS_2021.pdf,"We have positive 
momentum entering FY22 and see good opportunities for 
structural growth, cyclical recovery and self-improvement.","We have positive momentum entering FY22 and see good opportunities for structural growth, cyclical recovery and self-improvement.",positive momentum entering fy22 see good opportunity structural growth cyclical recovery selfimprovement,2,
4,HAYS 2021,HAYS_2021.pdf,"Given such dynamic change, our purpose has never  
been more relevant.","Given such dynamic change, our purpose has never been more relevant.",given dynamic change purpose never relevant,2,
5,HAYS 2021,HAYS_2021.pdf,"We bring opportunities to people, 
helping improve their lives and fulfil their potential through 
their career.","We bring opportunities to people, helping improve their lives and fulfil their potential through their career.",bring opportunity people helping improve life fulfil potential career,2,
6,HAYS 2021,HAYS_2021.pdf,"We have helped millions of talented individuals 
through the pandemic and are determined to continue this 
help as the world recovers.",We have helped millions of talented individuals through the pandemic and are determined to continue this help as the world recovers.,helped million talented individual pandemic determined continue help world recovers,2,
7,HAYS 2021,HAYS_2021.pdf,"The pandemic has enhanced the megatrends driving  
the world of work is accelerating the digital revolution.",The pandemic has enhanced the megatrends driving the world of work is accelerating the digital revolution.,pandemic enhanced megatrends driving world work accelerating digital revolution,2,
8,HAYS 2021,HAYS_2021.pdf,We are enabled by our technology and data.,We are enabled by our technology and data.,enabled technology data,2,
9,HAYS 2021,HAYS_2021.pdf,"By harnessing 
the ‘art’ of recruitment – our expert people – with ‘science’ 
– technology and data, we are leading our industry to 
create the best recruitment experience.","By harnessing the ‘art’ of recruitment – our expert people – with ‘science’ – technology and data, we are leading our industry to create the best recruitment experience.",harnessing art recruitment expert people science technology data leading industry create best recruitment experience,2,
10,HAYS 2021,HAYS_2021.pdf,We are global leaders.,We are global leaders.,global leader,2,
11,HAYS 2021,HAYS_2021.pdf,"We have built the world’s  
largest and most diversified white-collar recruitment 
business, with 10,800 colleagues.","We have built the world’s largest and most diversified white-collar recruitment business, with 10,800 colleagues.",built world largest diversified whitecollar recruitment business 10800 colleague,2,
12,HAYS 2021,HAYS_2021.pdf,"Our aim is to become 
lifelong partners to our clients and candidates, writing new 
stories and changing lives daily.","Our aim is to become lifelong partners to our clients and candidates, writing new stories and changing lives daily.",aim become lifelong partner client candidate writing new story changing life daily,2,
13,HAYS 2021,HAYS_2021.pdf,"It is a privilege to be able to 
bring some of these stories to life in our Annual Report.",It is a privilege to be able to bring some of these stories to life in our Annual Report.,privilege able bring story life annual report,2,
14,HAYS 2021,HAYS_2021.pdf,"Alistair Cox 
Chief Executive

OUR HAYS STORY
We are proud to be industry 
leaders, based on our deep 
knowledge and expertise
Every day, c.10,800 people  
in 33 countries strive to help  
our clients find the talent  
they need to grow and people 
advance their careers.","Alistair Cox Chief Executive OUR HAYS STORY We are proud to be industry leaders, based on our deep knowledge and expertise Every day, c.10,800 people in 33 countries strive to help our clients find the talent they need to grow and people advance their careers.",alistair cox chief executive hay story proud industry leader based deep knowledge expertise every day c10800 people 33 country strive help client find talent need grow people advance career,2,
