,report_label,file_name,text_raw,text_partial_preprocessed,text_fully_preprocessed,page_num,is_relevant
0,PANTHEON INTERNATIONAL 2022,PANTHEON_INTERNATIONAL_2022.pdf,"Pantheon International Plc Annual Report and Accounts 2022

Contents

Strategic Report 

About PIP 
35 years of PIP 
Why Choose Us 
Chair’s Statement 
Key Performance Indicators 
Our Strategy 
Our Business Model 
Investment Policy 
Responsible Investment and ESG 
Financing Our Undrawn Commitments 
Risk Management and Principal Risks 
s172(1) Statement 
Viability Statement 

02
04
05
16
22
27
31
37
38
44
46
50
55

Manager’s Review 

Financial Statements 

Portfolio 
Performance 
Our Market 
A Conversation with Insight Partners 
Sector Themes 
Distributions 
Calls 
New Commitments 
Buyout Analysis 
Other Information 
Key Pantheon Personnel Supporting PIP 

Governance

Board of Directors 
Directors’ Report 
Statement on Corporate Governance 
Audit Committee Report 
Directors’ Remuneration Report 
Directors’ Responsibility Statement 
Independent Auditor’s Report to the  
Members of Pantheon International Plc 

57
59
63
72
75
82
96
99
114
117
128

133
135
140
147
150
153

154

Income Statement 
Statement of Changes in Equity 
Balance Sheet 
Cash Flow Statement 
Notes to the Financial Statements 

Other Information

AIFMD Disclosures 
Alternative Performance Measures 
Glossary of Terms 
Directors and Advisers 

163
164
165
166
167

191
193
197
199

Retail investors advised by independent 
financial advisers
The Company currently conducts its affairs  
so that its shares can be recommended by 
independent financial advisers to retail private 
investors in accordance with the FCA’s rules in 
relation to non-mainstream investment products.",Pantheon International Plc Annual Report and Accounts 2022 Contents Strategic Report About PIP 35 years of PIP Why Choose Us Chair’s Statement Key Performance Indicators Our Strategy Our Business Model Investment Policy Responsible Investment and ESG Financing Our Undrawn Commitments Risk Management and Principal Risks s172(1) Statement Viability Statement 02 04 05 16 22 27 31 37 38 44 46 50 55 Manager’s Review Financial Statements Portfolio Performance Our Market A Conversation with Insight Partners Sector Themes Distributions Calls New Commitments Buyout Analysis Other Information Key Pantheon Personnel Supporting PIP Governance Board of Directors Directors’ Report Statement on Corporate Governance Audit Committee Report Directors’ Remuneration Report Directors’ Responsibility Statement Independent Auditor’s Report to the Members of Pantheon International Plc 57 59 63 72 75 82 96 99 114 117 128 133 135 140 147 150 153 154 Income Statement Statement of Changes in Equity Balance Sheet Cash Flow Statement Notes to the Financial Statements Other Information AIFMD Disclosures Alternative Performance Measures Glossary of Terms Directors and Advisers 163 164 165 166 167 191 193 197 199 Retail investors advised by independent financial advisers The Company currently conducts its affairs so that its shares can be recommended by independent financial advisers to retail private investors in accordance with the FCA’s rules in relation to non-mainstream investment products.,pantheon international plc annual report account 2022 content strategic report pip 35 year pip choose u chair statement key performance indicator strategy business model investment policy responsible investment esg financing undrawn commitment risk management principal risk s1721 statement viability statement 02 04 05 16 22 27 31 37 38 44 46 50 55 manager review financial statement portfolio performance market conversation insight partner sector theme distribution call new commitment buyout analysis information key pantheon personnel supporting pip governance board director director report statement corporate governance audit committee report director remuneration report director responsibility statement independent auditor report member pantheon international plc 57 59 63 72 75 82 96 99 114 117 128 133 135 140 147 150 153 154 income statement statement change equity balance sheet cash flow statement note financial statement information aifmd disclosure alternative performance measure glossary term director adviser 163 164 165 166 167 191 193 197 199 retail investor advised independent financial adviser company currently conduct affair share recommended independent financial adviser retail private investor accordance fcas rule relation nonmainstream investment product,3,
1,PANTHEON INTERNATIONAL 2022,PANTHEON_INTERNATIONAL_2022.pdf,"The shares are excluded from the FCA’s 
restrictions which apply to non-mainstream 
investment products because they are shares  
in a UK-listed investment trust.",The shares are excluded from the FCA’s restrictions which apply to non-mainstream investment products because they are shares in a UK-listed investment trust.,share excluded fcas restriction apply nonmainstream investment product share uklisted investment trust,3,
2,PANTHEON INTERNATIONAL 2022,PANTHEON_INTERNATIONAL_2022.pdf,"About PIP

Making the private, public

A share in PIP provides access to a high-quality 
diversified portfolio of private companies around the 
world that would otherwise be inaccessible to many 
investors.","About PIP Making the private, public A share in PIP provides access to a high-quality diversified portfolio of private companies around the world that would otherwise be inaccessible to many investors.",pip making private public share pip provides access highquality diversified portfolio private company around world would otherwise inaccessible many investor,4,
3,PANTHEON INTERNATIONAL 2022,PANTHEON_INTERNATIONAL_2022.pdf,"Shares in PIP can be bought and sold as 
they would in any other publicly listed company.",Shares in PIP can be bought and sold as they would in any other publicly listed company.,share pip bought sold would publicly listed company,4,
4,PANTHEON INTERNATIONAL 2022,PANTHEON_INTERNATIONAL_2022.pdf,"This year, PIP celebrates 35 years of delivering 
exceptional performance ahead of public market 
benchmarks over the long term.","This year, PIP celebrates 35 years of delivering exceptional performance ahead of public market benchmarks over the long term.",year pip celebrates 35 year delivering exceptional performance ahead public market benchmark long term,4,
5,PANTHEON INTERNATIONAL 2022,PANTHEON_INTERNATIONAL_2022.pdf,"As at 31 May 2022

NAV per share growth  
in the year (net of fees)

+31.0%
£2.4bn
+8.6%Share price increase in the year

Net asset value

since 1987 (net of fees)

+12.4%Average annual NAV growth 
£1.6bn
1.15%AIC ongoing charges1

Market capitalisation

PIP

Pantheon International Plc (“PIP” or the “Company”)  
is a listed FTSE 250 private equity investment trust, 
actively managed by Pantheon, one of the leading 
private markets investment managers globally.","As at 31 May 2022 NAV per share growth in the year (net of fees) +31.0% £2.4bn +8.6%Share price increase in the year Net asset value since 1987 (net of fees) +12.4%Average annual NAV growth £1.6bn 1.15%AIC ongoing charges1 Market capitalisation PIP Pantheon International Plc (“PIP” or the “Company”) is a listed FTSE 250 private equity investment trust, actively managed by Pantheon, one of the leading private markets investment managers globally.",31 may 2022 nav per share growth year net fee 310 24bn 86share price increase year net asset value since 1987 net fee 124average annual nav growth 16bn 115aic ongoing charges1 market capitalisation pip pantheon international plc pip company listed ftse 250 private equity investment trust actively managed pantheon one leading private market investment manager globally,4,
6,PANTHEON INTERNATIONAL 2022,PANTHEON_INTERNATIONAL_2022.pdf,"PIP is overseen by an independent  
Board of Directors from a wide range  
of backgrounds.",PIP is overseen by an independent Board of Directors from a wide range of backgrounds.,pip overseen independent board director wide range background,4,
7,PANTHEON INTERNATIONAL 2022,PANTHEON_INTERNATIONAL_2022.pdf,"Supervises

Shareholders

Invest via LSE

Oversees

PIP

PIP Board

Pantheon

Manages

1 

Including financing costs, PIP’s total ongoing charges would be 1.33%.","Supervises Shareholders Invest via LSE Oversees PIP PIP Board Pantheon Manages 1 Including financing costs, PIP’s total ongoing charges would be 1.33%.",supervises shareholder invest via lse oversees pip pip board pantheon manages 1 including financing cost pip total ongoing charge would 133,4,
8,PANTHEON INTERNATIONAL 2022,PANTHEON_INTERNATIONAL_2022.pdf,"About PIP

Managed by a leading private equity investor

Selecting, accessing and partnering with the 
best private equity managers globally with 
robust organisations, proven operational and 
sector expertise, and a sustainable investment 
strategy is key to achieving attractive returns.","About PIP Managed by a leading private equity investor Selecting, accessing and partnering with the best private equity managers globally with robust organisations, proven operational and sector expertise, and a sustainable investment strategy is key to achieving attractive returns.",pip managed leading private equity investor selecting accessing partnering best private equity manager globally robust organisation proven operational sector expertise sustainable investment strategy key achieving attractive return,5,
9,PANTHEON INTERNATIONAL 2022,PANTHEON_INTERNATIONAL_2022.pdf,"Assets under management

US$87.8bn1 
>865 
10offices around the world

institutional investors globally

investment professionals

1212 
c.10,000 
>5601 

private equity managers in 
Pantheon’s database

advisory board seats held

1  As at 31 March 2022.","Assets under management US$87.8bn1 >865 10offices around the world institutional investors globally investment professionals 1212 c.10,000 >5601 private equity managers in Pantheon’s database advisory board seats held 1 As at 31 March 2022.",asset management us878bn1 865 10offices around world institutional investor globally investment professional 1212 c10000 5601 private equity manager pantheon database advisory board seat held 1 31 march 2022,5,
