,report_label,file_name,text_raw,text_partial_preprocessed,text_fully_preprocessed,page_num,is_relevant
0,SPECTRIS 2021,SPECTRIS_2021.pdf,Cleaner.,Cleaner.,cleaner,1,
1,SPECTRIS 2021,SPECTRIS_2021.pdf,Cleaner.,Cleaner.,cleaner,1,
2,SPECTRIS 2021,SPECTRIS_2021.pdf,Healthier.,Healthier.,healthier,1,
3,SPECTRIS 2021,SPECTRIS_2021.pdf,Healthier.,Healthier.,healthier,1,
4,SPECTRIS 2021,SPECTRIS_2021.pdf,More productive.,More productive.,productive,1,
5,SPECTRIS 2021,SPECTRIS_2021.pdf,More productive.,More productive.,productive,1,
6,SPECTRIS 2021,SPECTRIS_2021.pdf,"Spectris harnesses  
the power of precision 
measurement to  
equip our customers  
to make the world  
cleaner, healthier  
and more productive.","Spectris harnesses the power of precision measurement to equip our customers to make the world cleaner, healthier and more productive.",spectris harness power precision measurement equip customer make world cleaner healthier productive,2,
7,SPECTRIS 2021,SPECTRIS_2021.pdf,"2021 performance

Sales

£1,292.0m

(2020: £1,336.2m) 
Change yoy (3%) 
LFL1 change yoy 10%

Adjusted operating profit1

£209.4m

(2020: £173.6m)
Change yoy 21%
LFL change yoy 29%

Statutory operating profit/(loss)

£154.9m

(2020: (£23.3m))
 

 

Adjusted cash flow conversion1

Adjusted operating margin1

Statutory operating margin

96%

(2020: 141%)
Change yoy (45pp)

Dividend per share

71.8p

(2020: 68.4p)
Change yoy 5%

16.2%

(2020: 13.0%)
Change yoy 320bps 
LFL change yoy 240bps

 

12.0%

(2020: (1.7%))
Change yoy 1,370bps

Adjusted earnings per share1

Statutory earnings/(loss) per share

140.7p

(2020: 112.1p)
Change yoy 26%

305.1p

(2020: (14.6p))
 

1.","2021 performance Sales £1,292.0m (2020: £1,336.2m) Change yoy (3%) LFL1 change yoy 10% Adjusted operating profit1 £209.4m (2020: £173.6m) Change yoy 21% LFL change yoy 29% Statutory operating profit/(loss) £154.9m (2020: (£23.3m)) Adjusted cash flow conversion1 Adjusted operating margin1 Statutory operating margin 96% (2020: 141%) Change yoy (45pp) Dividend per share 71.8p (2020: 68.4p) Change yoy 5% 16.2% (2020: 13.0%) Change yoy 320bps LFL change yoy 240bps 12.0% (2020: (1.7%)) Change yoy 1,370bps Adjusted earnings per share1 Statutory earnings/(loss) per share 140.7p (2020: 112.1p) Change yoy 26% 305.1p (2020: (14.6p)) 1.",2021 performance sale 12920m 2020 13362m change yoy 3 lfl1 change yoy 10 adjusted operating profit1 2094m 2020 1736m change yoy 21 lfl change yoy 29 statutory operating profitloss 1549m 2020 233m adjusted cash flow conversion1 adjusted operating margin1 statutory operating margin 96 2020 141 change yoy 45pp dividend per share 718p 2020 684p change yoy 5 162 2020 130 change yoy 320bps lfl change yoy 240bps 120 2020 17 change yoy 1370bps adjusted earnings per share1 statutory earningsloss per share 1407p 2020 1121p change yoy 26 3051p 2020 146p 1,2,
8,SPECTRIS 2021,SPECTRIS_2021.pdf,Alternative performance measures (‘APMs’) are used consistently throughout this Annual Report and are referred to as ‘adjusted’ or ‘like-for-like’ (‘LFL’).,Alternative performance measures (‘APMs’) are used consistently throughout this Annual Report and are referred to as ‘adjusted’ or ‘like-for-like’ (‘LFL’).,alternative performance measure apms used consistently throughout annual report referred adjusted likeforlike lfl,2,
9,SPECTRIS 2021,SPECTRIS_2021.pdf,These are defined in full and reconciled to the reported statutory measures in the appendix to the Consolidated Financial Statements on page 182.,These are defined in full and reconciled to the reported statutory measures in the appendix to the Consolidated Financial Statements on page 182.,defined full reconciled reported statutory measure appendix consolidated financial statement page 182,2,
