,report_label,file_name,text_raw,text_partial_preprocessed,text_fully_preprocessed,page_num,is_relevant
0,WH SMITH 2021,WH_SMITH_2021.pdf,"About us

We are  
a leading 
global 
retailer

WH Smith PLC is a leading 
global Travel retailer for 
news, books, convenience 
and tech accessories with a 
smaller business on the UK 
High Street.","About us We are a leading global retailer WH Smith PLC is a leading global Travel retailer for news, books, convenience and tech accessories with a smaller business on the UK High Street.",u leading global retailer wh smith plc leading global travel retailer news book convenience tech accessory smaller business uk high street,2,
1,WH SMITH 2021,WH_SMITH_2021.pdf,"At the heart of 
both our businesses are our 
people and our customers.",At the heart of both our businesses are our people and our customers.,heart business people customer,2,
2,WH SMITH 2021,WH_SMITH_2021.pdf,"We aim to deliver our goals 
through our strategic priorities 
and initiatives by: constantly 
innovating, expanding globally, 
improving our profitability and 
delivering sustainable returns.","We aim to deliver our goals through our strategic priorities and initiatives by: constantly innovating, expanding globally, improving our profitability and delivering sustainable returns.",aim deliver goal strategic priority initiative constantly innovating expanding globally improving profitability delivering sustainable return,2,
3,WH SMITH 2021,WH_SMITH_2021.pdf,"Find out more about WHSmith at 
whsmithplc.co.uk

@whsmithofficial

@whsmith

youtube.com/WHSmithDirect

linkedin.com/company/whsmith

Disclaimer
This Annual report has been prepared for, and only for, the 
members of the Company, as a body, and no other persons.","Find out more about WHSmith at       Disclaimer This Annual report has been prepared for, and only for, the members of the Company, as a body, and no other persons.",find whsmith disclaimer annual report prepared member company body person,2,
4,WH SMITH 2021,WH_SMITH_2021.pdf,"The Company, its directors, employees, agents or advisers do 
not accept or assume responsibility to any other person to 
whom this document is shown or into whose hands it may 
come and any such responsibility or liability is expressly 
disclaimed.","The Company, its directors, employees, agents or advisers do not accept or assume responsibility to any other person to whom this document is shown or into whose hands it may come and any such responsibility or liability is expressly disclaimed.",company director employee agent adviser accept assume responsibility person document shown whose hand may come responsibility liability expressly disclaimed,2,
5,WH SMITH 2021,WH_SMITH_2021.pdf,"By their nature, the statements concerning the 
risks and uncertainties facing the Group in this Annual report 
involve uncertainty since future events and circumstances can 
cause results and developments to differ materially from those 
anticipated.","By their nature, the statements concerning the risks and uncertainties facing the Group in this Annual report involve uncertainty since future events and circumstances can cause results and developments to differ materially from those anticipated.",nature statement concerning risk uncertainty facing group annual report involve uncertainty since future event circumstance cause result development differ materially anticipated,2,
6,WH SMITH 2021,WH_SMITH_2021.pdf,"The forward-looking statements reflect knowledge 
and information available at the date of preparation of this 
Annual report and the Company undertakes no obligation to 
update these forward-looking statements.",The forward-looking statements reflect knowledge and information available at the date of preparation of this Annual report and the Company undertakes no obligation to update these forward-looking statements.,forwardlooking statement reflect knowledge information available date preparation annual report company undertakes obligation update forwardlooking statement,2,
7,WH SMITH 2021,WH_SMITH_2021.pdf,"Nothing in this 
Annual report should be construed as a profit forecast.",Nothing in this Annual report should be construed as a profit forecast.,nothing annual report construed profit forecast,2,
8,WH SMITH 2021,WH_SMITH_2021.pdf,"Group at a glance

WH Smith PLC is a leading travel retailer with a smaller high street business

Travel

WHSmith Travel is a global travel retailer with a strong presence in UK travel 
locations and an increasing portfolio of stores around the world, including our 
fast-growing North American businesses, Marshall Retail Group (MRG) for 
speciality retail, and InMotion, the market-leading global technology retailer  
in travel locations.","Group at a glance WH Smith PLC is a leading travel retailer with a smaller high street business Travel WHSmith Travel is a global travel retailer with a strong presence in UK travel locations and an increasing portfolio of stores around the world, including our fast-growing North American businesses, Marshall Retail Group (MRG) for speciality retail, and InMotion, the market-leading global technology retailer in travel locations.",group glance wh smith plc leading travel retailer smaller high street business travel whsmith travel global travel retailer strong presence uk travel location increasing portfolio store around world including fastgrowing north american business marshall retail group mrg speciality retail inmotion marketleading global technology retailer travel location,4,
9,WH SMITH 2021,WH_SMITH_2021.pdf,"WHSmith Travel sells a range of products serving customers in travel locations 
or in need of a convenience offer.",WHSmith Travel sells a range of products serving customers in travel locations or in need of a convenience offer.,whsmith travel sell range product serving customer travel location need convenience offer,4,
10,WH SMITH 2021,WH_SMITH_2021.pdf,"As at 31 August 2021, the business operated from 1,166 units (2020: 1,174 
units), in airports, hospitals, railway stations and motorway service areas.","As at 31 August 2021, the business operated from 1,166 units (2020: 1,174 units), in airports, hospitals, railway stations and motorway service areas.",31 august 2021 business operated 1166 unit 2020 1174 unit airport hospital railway station motorway service area,4,
11,WH SMITH 2021,WH_SMITH_2021.pdf,"595 of these units (2020: 584 units) are outside the UK across 30 countries  
and mainly in airports.",595 of these units (2020: 584 units) are outside the UK across 30 countries and mainly in airports.,595 unit 2020 584 unit outside uk across 30 country mainly airport,4,
12,WH SMITH 2021,WH_SMITH_2021.pdf,"During the year, the business has continued to be impacted by the Covid-19 
pandemic with a significant number of stores temporarily closed across the 
globe.","During the year, the business has continued to be impacted by the Covid-19 pandemic with a significant number of stores temporarily closed across the globe.",year business continued impacted covid19 pandemic significant number store temporarily closed across globe,4,
13,WH SMITH 2021,WH_SMITH_2021.pdf,"Further to the easing of government restrictions around the world,  
we have been encouraged by the improving trends in each of our channels,  
and we are well positioned to benefit from the opportunities that exist as our  
markets recover.","Further to the easing of government restrictions around the world, we have been encouraged by the improving trends in each of our channels, and we are well positioned to benefit from the opportunities that exist as our markets recover.",easing government restriction around world encouraged improving trend channel well positioned benefit opportunity exist market recover,4,
14,WH SMITH 2021,WH_SMITH_2021.pdf,"02

WH Smith PLC Annual Report and Accounts 2021

Our goal 
to be the leading retailer in  
travel essentials for the world’s 
travelling customer.",02 WH Smith PLC Annual Report and Accounts 2021 Our goal to be the leading retailer in travel essentials for the world’s travelling customer.,02 wh smith plc annual report account 2021 goal leading retailer travel essential world travelling customer,4,
15,WH SMITH 2021,WH_SMITH_2021.pdf,"High Street

High Street sells a wide range of Stationery, Books, Newspapers, Magazines 
and Impulse products.","High Street High Street sells a wide range of Stationery, Books, Newspapers, Magazines and Impulse products.",high street high street sell wide range stationery book newspaper magazine impulse product,5,
16,WH SMITH 2021,WH_SMITH_2021.pdf,"As at 31 August 2021, the business operated from 544 WHSmith High Street 
stores1 (2020: 568 stores1), located on most of the UK’s significant high streets 
and shopping centres.","As at 31 August 2021, the business operated from 544 WHSmith High Street stores1 (2020: 568 stores1), located on most of the UK’s significant high streets and shopping centres.",31 august 2021 business operated 544 whsmith high street stores1 2020 568 stores1 located uk significant high street shopping centre,5,
17,WH SMITH 2021,WH_SMITH_2021.pdf,"We operate over 200 Post Offices from within our High 
Street stores, further cementing our position on the high street and at the heart 
of the communities we serve.","We operate over 200 Post Offices from within our High Street stores, further cementing our position on the high street and at the heart of the communities we serve.",operate 200 post office within high street store cementing position high street heart community serve,5,
18,WH SMITH 2021,WH_SMITH_2021.pdf,"Our online digital business operates through five websites:  
funkypigeon.com, whsmith.co.uk, cultpens.com, treeofhearts.co.uk and 
dottyaboutpaper.co.uk.","Our online digital business operates through five websites:  ,  ,  ,   and  ",online digital business operates five website,5,
19,WH SMITH 2021,WH_SMITH_2021.pdf,"During the year, High Street was impacted by reduced footfall as a result  
of the Covid-19 pandemic.","During the year, High Street was impacted by reduced footfall as a result of the Covid-19 pandemic.",year high street impacted reduced footfall result covid19 pandemic,5,
20,WH SMITH 2021,WH_SMITH_2021.pdf,"In line with government guidance, we kept the vast 
majority of our High Street stores open throughout the lockdown periods  
in order to provide access to essential products and services, including 
Post Offices.","In line with government guidance, we kept the vast majority of our High Street stores open throughout the lockdown periods in order to provide access to essential products and services, including Post Offices.",line government guidance kept vast majority high street store open throughout lockdown period order provide access essential product service including post office,5,
21,WH SMITH 2021,WH_SMITH_2021.pdf,"Our goal 
to be Britain’s most popular  
high street stationer, bookseller 
and newsagent.","Our goal to be Britain’s most popular high street stationer, bookseller and newsagent.",goal britain popular high street stationer bookseller newsagent,5,
22,WH SMITH 2021,WH_SMITH_2021.pdf,"Highlights
WHSmith Stores1
544

(2020: 568)

Revenue

£485m

(2020: £468m)

1   Excludes one Cardmarket store (2020: 3 Cardmarket stores).",Highlights WHSmith Stores1 544 (2020: 568) Revenue £485m (2020: £468m) 1 Excludes one Cardmarket store (2020: 3 Cardmarket stores).,highlight whsmith stores1 544 2020 568 revenue 485m 2020 468m 1 excludes one cardmarket store 2020 3 cardmarket store,5,
23,WH SMITH 2021,WH_SMITH_2021.pdf,"Our business model and strategy to create value

WHSmith is a global travel retailer with a smaller business based on UK 
high streets.",Our business model and strategy to create value WHSmith is a global travel retailer with a smaller business based on UK high streets.,business model strategy create value whsmith global travel retailer smaller business based uk high street,6,
24,WH SMITH 2021,WH_SMITH_2021.pdf,"Our business model and strategy seeks to create value for all 
stakeholders through improving our profitability and cash flow to deliver 
sustainable returns.",Our business model and strategy seeks to create value for all stakeholders through improving our profitability and cash flow to deliver sustainable returns.,business model strategy seek create value stakeholder improving profitability cash flow deliver sustainable return,6,
25,WH SMITH 2021,WH_SMITH_2021.pdf,"Our business model

Travel

High Street

Focused use of cash

Our goal
To be the leading retailer of travel essentials for the 
travelling customer

Our goal
To be Britain’s most  
popular stationer, 
bookseller and newsagent

Our goal
Disciplined approach  
to cash generation  
and capital allocation

Driving like-for-like sales in 
existing stores through 
increasing average transaction 
value and expanding the range 
and number of categories  
we sell

Expanding profitability outside 
of the UK
– North America
–  Building critical mass in our 

emerging hubs

Adopting a forensic store  
by store focus on space 
management to optimise  
the returns from our core 
categories, particularly  
Stationery

Investment in store 
environments and layouts

A forensic store by store  
focus on space and 
category management

Winning new space and 
retaining existing space

Developing new formats

–  Utilising the same space 

management and 
operational disciplines  
as we have in the UK

Growing InMotion, now the 
leading global retailer of 
technology stores in 
travel locations

Investing in digital solutions  
to enhance the customer  
experience

Driving margin growth through 
category mix management

Reducing our cost base  
to reflect our changing  
sales profile and 
productivity initiatives

Building online propositions 
complementary to our stores 
and categories: funkypigeon.","Our business model Travel High Street Focused use of cash Our goal To be the leading retailer of travel essentials for the travelling customer Our goal To be Britain’s most popular stationer, bookseller and newsagent Our goal Disciplined approach to cash generation and capital allocation Driving like-for-like sales in existing stores through increasing average transaction value and expanding the range and number of categories we sell Expanding profitability outside of the UK – North America – Building critical mass in our emerging hubs Adopting a forensic store by store focus on space management to optimise the returns from our core categories, particularly Stationery Investment in store environments and layouts A forensic store by store focus on space and category management Winning new space and retaining existing space Developing new formats – Utilising the same space management and operational disciplines as we have in the UK Growing InMotion, now the leading global retailer of technology stores in travel locations Investing in digital solutions to enhance the customer experience Driving margin growth through category mix management Reducing our cost base to reflect our changing sales profile and productivity initiatives Building online propositions complementary to our stores and categories: funkypigeon.",business model travel high street focused use cash goal leading retailer travel essential travelling customer goal britain popular stationer bookseller newsagent goal disciplined approach cash generation capital allocation driving likeforlike sale existing store increasing average transaction value expanding range number category sell expanding profitability outside uk north america building critical mass emerging hub adopting forensic store store focus space management optimise return core category particularly stationery investment store environment layout forensic store store focus space category management winning new space retaining existing space developing new format utilising space management operational discipline uk growing inmotion leading global retailer technology store travel location investing digital solution enhance customer experience driving margin growth category mix management reducing cost base reflect changing sale profile productivity initiative building online proposition complementary store category funkypigeon,6,
26,WH SMITH 2021,WH_SMITH_2021.pdf,"com, cultpens.com and 
whsmith.co.uk

Investing in the business 
where returns are greater  
than our cost of capital

Value accretive acquisitions  
in attractive markets with good 
growth prospects

Return surplus cash to 
shareholders through a 
progressive dividend policy  
and share buybacks

Operating responsibly
You can read more about our approach to 
Environmental, Social and Corporate 
Governance (ESG) on pages 29 to 36.","com,   and   Investing in the business where returns are greater than our cost of capital Value accretive acquisitions in attractive markets with good growth prospects Return surplus cash to shareholders through a progressive dividend policy and share buybacks Operating responsibly You can read more about our approach to Environmental, Social and Corporate Governance (ESG) on pages 29 to 36.",com investing business return greater cost capital value accretive acquisition attractive market good growth prospect return surplus cash shareholder progressive dividend policy share buyback operating responsibly read approach environmental social corporate governance esg page 29 36,6,
27,WH SMITH 2021,WH_SMITH_2021.pdf,"Right people and skills
You can read more about our values, 
employees and diversity on pages 32 to 34.","Right people and skills You can read more about our values, employees and diversity on pages 32 to 34.",right people skill read value employee diversity page 32 34,6,
28,WH SMITH 2021,WH_SMITH_2021.pdf,"Our customers
You can read more about our markets  
on pages 5 and 6.",Our customers You can read more about our markets on pages 5 and 6.,customer read market page 5 6,6,
29,WH SMITH 2021,WH_SMITH_2021.pdf,"Our markets

Travel

Travel sells a range of products serving customers  
in travel locations and in need of a convenience offer.",Our markets Travel Travel sells a range of products serving customers in travel locations and in need of a convenience offer.,market travel travel sell range product serving customer travel location need convenience offer,7,
30,WH SMITH 2021,WH_SMITH_2021.pdf,"Travel’s typical customer has less time to browse  
and is more interested in purchasing convenience 
and impulse products such as food, drink and 
confectionery, travel and tech accessories and 
souvenirs, as well as reading materials for a journey.","Travel’s typical customer has less time to browse and is more interested in purchasing convenience and impulse products such as food, drink and confectionery, travel and tech accessories and souvenirs, as well as reading materials for a journey.",travel typical customer le time browse interested purchasing convenience impulse product food drink confectionery travel tech accessory souvenir well reading material journey,7,
31,WH SMITH 2021,WH_SMITH_2021.pdf,"Travel units are typically located in high footfall locations with 
higher operating and occupation costs with rents paid as a 
percentage of sales (often subject to minimum guarantees).",Travel units are typically located in high footfall locations with higher operating and occupation costs with rents paid as a percentage of sales (often subject to minimum guarantees).,travel unit typically located high footfall location higher operating occupation cost rent paid percentage sale often subject minimum guarantee,7,
32,WH SMITH 2021,WH_SMITH_2021.pdf,"Travel is less affected by the Christmas trading period than  
high street retailers.",Travel is less affected by the Christmas trading period than high street retailers.,travel le affected christmas trading period high street retailer,7,
33,WH SMITH 2021,WH_SMITH_2021.pdf,"Increased passenger traffic during the 
summer holiday season, particularly in airports, contributes  
to a summer peak in sales.","Increased passenger traffic during the summer holiday season, particularly in airports, contributes to a summer peak in sales.",increased passenger traffic summer holiday season particularly airport contributes summer peak sale,7,
34,WH SMITH 2021,WH_SMITH_2021.pdf,"Most passengers are travelling for 
leisure purposes.",Most passengers are travelling for leisure purposes.,passenger travelling leisure purpose,7,
35,WH SMITH 2021,WH_SMITH_2021.pdf,"Our main markets are in the UK (air, hospitals and rail) and in 
North America (air and resorts in Las Vegas).","Our main markets are in the UK (air, hospitals and rail) and in North America (air and resorts in Las Vegas).",main market uk air hospital rail north america air resort la vega,7,
36,WH SMITH 2021,WH_SMITH_2021.pdf,"All our markets 
have been impacted by government actions following the 
outbreak of Covid-19.",All our markets have been impacted by government actions following the outbreak of Covid-19.,market impacted government action following outbreak covid19,7,
37,WH SMITH 2021,WH_SMITH_2021.pdf,"The rate at which passengers return to 
travel locations will have the biggest impact on our markets.",The rate at which passengers return to travel locations will have the biggest impact on our markets.,rate passenger return travel location biggest impact market,7,
38,WH SMITH 2021,WH_SMITH_2021.pdf,"As restrictions have eased, we have seen a return to travelling led 
first by domestic travel and then short-haul.","As restrictions have eased, we have seen a return to travelling led first by domestic travel and then short-haul.",restriction eased seen return travelling led first domestic travel shorthaul,7,
39,WH SMITH 2021,WH_SMITH_2021.pdf,"Long-haul travel will 
be the last to recover.",Long-haul travel will be the last to recover.,longhaul travel last recover,7,
40,WH SMITH 2021,WH_SMITH_2021.pdf,"Most industry forecasts, for example, 
Airports Council International (ACI) expect passenger numbers  
to return to 2019 levels by 2024.","Most industry forecasts, for example, Airports Council International (ACI) expect passenger numbers to return to 2019 levels by 2024.",industry forecast example airport council international aci expect passenger number return 2019 level 2024,7,
41,WH SMITH 2021,WH_SMITH_2021.pdf,"In the UK, air passenger numbers have been significantly 
impacted.","In the UK, air passenger numbers have been significantly impacted.",uk air passenger number significantly impacted,7,
42,WH SMITH 2021,WH_SMITH_2021.pdf,"However, as restrictions have eased, we have seen a 
recovery in passenger numbers.","However, as restrictions have eased, we have seen a recovery in passenger numbers.",however restriction eased seen recovery passenger number,7,
43,WH SMITH 2021,WH_SMITH_2021.pdf,"According to ACI, UK passenger 

numbers were down 49 per cent in October 2021 compared to 
2019.","According to ACI, UK passenger numbers were down 49 per cent in October 2021 compared to 2019.",according aci uk passenger number 49 per cent october 2021 compared 2019,7,
44,WH SMITH 2021,WH_SMITH_2021.pdf,"This compares to down 80 per cent in October 2020 
compared to October 2019.",This compares to down 80 per cent in October 2020 compared to October 2019.,compare 80 per cent october 2020 compared october 2019,7,
45,WH SMITH 2021,WH_SMITH_2021.pdf,"Rail passenger numbers have also 
been significantly impacted by government restrictions and have 
recovered as restrictions have eased.",Rail passenger numbers have also been significantly impacted by government restrictions and have recovered as restrictions have eased.,rail passenger number also significantly impacted government restriction recovered restriction eased,7,
46,WH SMITH 2021,WH_SMITH_2021.pdf,"Concourse data from 
Network Rail suggests that rail passengers were down 34 per 
cent in October 2021 compared to October 2019.",Concourse data from Network Rail suggests that rail passengers were down 34 per cent in October 2021 compared to October 2019.,concourse data network rail suggests rail passenger 34 per cent october 2021 compared october 2019,7,
47,WH SMITH 2021,WH_SMITH_2021.pdf,"This has 
improved from down 65 to 70 per cent in October 2020.",This has improved from down 65 to 70 per cent in October 2020.,improved 65 70 per cent october 2020,7,
48,WH SMITH 2021,WH_SMITH_2021.pdf,"Hospitals are impacted by changes in the number of visitors  
and elective surgeries.",Hospitals are impacted by changes in the number of visitors and elective surgeries.,hospital impacted change number visitor elective surgery,7,
49,WH SMITH 2021,WH_SMITH_2021.pdf,"The UK Government continues to invest  
in the National Health Service and in building new and 
extended hospitals.",The UK Government continues to invest in the National Health Service and in building new and extended hospitals.,uk government continues invest national health service building new extended hospital,7,
50,WH SMITH 2021,WH_SMITH_2021.pdf,"In North America, due to the domestic nature of the market, 
airport passenger numbers have recovered quickly.","In North America, due to the domestic nature of the market, airport passenger numbers have recovered quickly.",north america due domestic nature market airport passenger number recovered quickly,7,
