text_raw,text_partial_preprocessed,page_num,cosine_similarity_score,relevant_keywords
"The Group uses derivative 
instruments to manage its exposure to foreign exchange risk arising from 
operating  activities.",The Group uses derivative instruments to manage its exposure to foreign exchange risk arising from operating activities.,166,26.006104,"risk, foreign, exposure"
These foreign currency risks are hedged by using foreign currency forward contracts.,These foreign currency risks are hedged by using foreign currency forward contracts.,192,32.055676,"currency, foreign, forward, risks"
"As part of its risk management policy, the Group uses derivative financial instruments in the form of currency 
forward contracts to manage the cash flow risk resulting from these exchange rate movements.","As part of its risk management policy, the Group uses derivative financial instruments in the form of currency forward contracts to manage the cash flow risk resulting from these exchange rate movements.",194,32.332535,"risk, currency, contracts, forward, rate"
"HEDGE ACCOUNTING 
The Group uses derivative financial instruments in the form of forward 
currency contracts, and  certain of  its existing  US  dollar  denominated 
borrowings, to hedge the foreign currency risk of sales (including inter-
group sales) of finished vehicles and external purchases of component 
parts.","HEDGE ACCOUNTING The Group uses derivative financial instruments in the form of forward currency contracts, and certain of its existing US dollar denominated borrowings, to hedge the foreign currency risk of sales (including inter- group sales) of finished vehicles and external purchases of component parts.",166,33.322834,"risk, foreign, currency, forward, hedge"
"The Group hedges significant foreign currency exposures as follows: 

•  Firstly, when practical, with currency forward contracts on a reducing basis with the highest coverage in the year immediately following the 

year end date.","The Group hedges significant foreign currency exposures as follows: • Firstly, when practical, with currency forward contracts on a reducing basis with the highest coverage in the year immediately following the year end date.",194,37.401436,"hedges, foreign, currency, contracts, forward"
"The hedging instruments of the cash flow hedge relationship have been designated as 
the spot element of forward foreign exchange contract, and the forward points are excluded from the hedge relationship.","The hedging instruments of the cash flow hedge relationship have been designated as the spot element of forward foreign exchange contract, and the forward points are excluded from the hedge relationship.",194,38.0859,"foreign, forward, hedging, hedge"
"When the hedge ratio is 1:1 the value of the hedging instrument matches the value 
of the hedged item.",When the hedge ratio is 1:1 the value of the hedging instrument matches the value of the hedged item.,195,40.854107,"hedging, hedge"
"196
194 

NOTES TO THE FINANCIAL STATEMENTS CONTINUED 

22 FINANCIAL INSTRUMENTS CONTINUED 
ESTIMATION OF FAIR VALUES 
 

 
Included in assets 
Level 2 
Forward foreign exchange contracts 
Loan assets 
Level 3 
Other derivative contracts 
 
 
Included in liabilities 
Level 1 
$1,184.0m (2020: $1,085.5m) 10.5% US dollar First Lien 
Notes 
$335m 15.0% US dollar Second Lien Split Coupon Notes 
 
 
Level 2 
Forward exchange contracts 
Derivative option over own shares 
 

As at 31 December 2021 

As at 31 December 2020 

Nominal value 
£m 
 
 
– 
2.1 
 
– 
2.1 
 
 
 

874.2 
242.6 
 
 
 
– 
48.1 
1,164.9 

Book value 
£m 
 
 
0.6 
2.1 
 
3.3 
6.0 
 
 
 

852.5 
222.4 
 
 
 
0.8 
31.0 
1,106.7 

Fair value 
£m 
 
 
0.6 
2.1 
 
3.3 
6.0 
 
 
 

959.4 
279.6 
 
 
 
0.8 
31.0 
1,270.8 

Nominal value 
£m 
 
 
– 
– 
 
– 
– 
 
 
 

793.8 
245.0 
 
 
 
– 
63.3 
1,102.1 

Book value 
£m 
 
 
0.8 
– 
 
4.0 
4.8 
 
 
 

763.2 
201.8 
 
 
 
0.5 
79.9 
1,045.4 

Fair value 
£m 
 
 
0.8 
– 
 
4.0 
4.8 
 
 
 

861.2 
248.9 
 
 
 
0.5 
79.9 
1,190.5 

Under IFRS 7, such assets and liabilities are classified by the way in which their fair value is calculated.","196 194 NOTES TO THE FINANCIAL STATEMENTS CONTINUED 22 FINANCIAL INSTRUMENTS CONTINUED ESTIMATION OF FAIR VALUES Included in assets Level 2 Forward foreign exchange contracts Loan assets Level 3 Other derivative contracts Included in liabilities Level 1 $1,184.0m (2020: $1,085.5m) 10.5% US dollar First Lien Notes $335m 15.0% US dollar Second Lien Split Coupon Notes Level 2 Forward exchange contracts Derivative option over own shares As at 31 December 2021 As at 31 December 2020 Nominal value £m – 2.1 – 2.1 874.2 242.6 – 48.1 1,164.9 Book value £m 0.6 2.1 3.3 6.0 852.5 222.4 0.8 31.0 1,106.7 Fair value £m 0.6 2.1 3.3 6.0 959.4 279.6 0.8 31.0 1,270.8 Nominal value £m – – – – 793.8 245.0 – 63.3 1,102.1 Book value £m 0.8 – 4.0 4.8 763.2 201.8 0.5 79.9 1,045.4 Fair value £m 0.8 – 4.0 4.8 861.2 248.9 0.5 79.9 1,190.5 Under IFRS 7, such assets and liabilities are classified by the way in which their fair value is calculated.",198,41.1799,"foreign, contracts"
The Group currently has no active currency forward contract cash flow hedges beyond 2022.,The Group currently has no active currency forward contract cash flow hedges beyond 2022.,194,41.208534,"currency, hedges, forward"
"The hedged items have 
been designated as highly probable forecast net sales or purchases denominated in foreign currencies.",The hedged items have been designated as highly probable forecast net sales or purchases denominated in foreign currencies.,194,42.496708,foreign
"The Group does not mitigate all transactional foreign 
currency exposures, with the unhedged proportion converted at exchange rates prevailing on the date of the transaction.","The Group does not mitigate all transactional foreign currency exposures, with the unhedged proportion converted at exchange rates prevailing on the date of the transaction.",194,42.802578,"currency, foreign"
"Movements  in  the  fair  value  of  foreign  exchange 
derivatives  not  qualifying  for  hedge  accounting  are  recognised  in 
finance income or expense.",Movements in the fair value of foreign exchange derivatives not qualifying for hedge accounting are recognised in finance income or expense.,166,43.295666,"foreign, hedge, derivatives"
"When practicable, the Group places additional hedges on a regular basis so that the percentage of the foreign currency 
exposure hedged increases as the time to maturity of the foreign currency exposure reduces.","When practicable, the Group places additional hedges on a regular basis so that the percentage of the foreign currency exposure hedged increases as the time to maturity of the foreign currency exposure reduces.",194,43.767254,"currency, foreign, hedges, exposure"
"HEDGE ACCOUNTING 
The Group is primarily exposed to US dollar currency variations on the sale of vehicles and parts, and Euro currency variations on the purchase of 
raw material parts and services.","HEDGE ACCOUNTING The Group is primarily exposed to US dollar currency variations on the sale of vehicles and parts, and Euro currency variations on the purchase of raw material parts and services.",194,44.037235,currency
"The cash flow hedges give certainty over the transactional values to be recognised 
in the Consolidated Income Statement, and in the case of the forward contracts, certainty around the value of cash flows arising as foreign currencies 
are exchanged at predetermined rates.","The cash flow hedges give certainty over the transactional values to be recognised in the Consolidated Income Statement, and in the case of the forward contracts, certainty around the value of cash flows arising as foreign currencies are exchanged at predetermined rates.",194,44.464687,"currencies, foreign, hedges, forward"
"The main risks arising from the Group's financial instruments are credit risk, interest-rate risk, currency risk and liquidity 
risk.","The main risks arising from the Group's financial instruments are credit risk, interest-rate risk, currency risk and liquidity risk.",188,44.843124,"risk, currency, risks"
"19 OTHER FINANCIAL ASSETS 

 
Forward currency contracts held at fair value 
Loan assets 
Cash held not available for short term use 
Other derivative contracts 
 
 
Analysed as: 
Current 
Non-current 
 

2021 
£m 
0.6 
2.1 
1.8 
3.3 
7.8 
 
 
7.3 
0.5 
7.8 

2020 
£m 
0.8 
– 
9.9 
4.0 
14.7 
 
 
14.6 
0.1 
14.7 

The Group uses forward currency contracts to partly manage the risk associated with fluctuations in exchange rates on future sales contracts.",19 OTHER FINANCIAL ASSETS Forward currency contracts held at fair value Loan assets Cash held not available for short term use Other derivative contracts Analysed as: Current Non-current 2021 £m 0.6 2.1 1.8 3.3 7.8 7.3 0.5 7.8 2020 £m 0.8 – 9.9 4.0 14.7 14.6 0.1 14.7 The Group uses forward currency contracts to partly manage the risk associated with fluctuations in exchange rates on future sales contracts.,185,45.344467,"risk, currency, contracts, forward"
