text_raw,text_partial_preprocessed,page_num,cosine_similarity_score,relevant_keywords
"Derivative financial instruments 
The Group’s activities expose it to the financial risks of foreign currency 
transactions, and it uses forward foreign exchange contracts to hedge its 
exposure to these transactional risks.","Derivative financial instruments The Group’s activities expose it to the financial risks of foreign currency transactions, and it uses forward foreign exchange contracts to hedge its exposure to these transactional risks.",167,24.333834,"foreign, currency, contracts, forward, hedge, exposure, risks"
"In order to hedge its exposure to certain foreign exchange risks, the Group 
enters into forward foreign exchange contracts which are accounted for 
as derivative financial instruments (see below for details of the Group’s 
accounting policies in respect of such derivative financial instruments).","In order to hedge its exposure to certain foreign exchange risks, the Group enters into forward foreign exchange contracts which are accounted for as derivative financial instruments (see below for details of the Group’s accounting policies in respect of such derivative financial instruments).",167,28.397406,"foreign, contracts, forward, hedge, exposure"
"For the purpose of these Group 
financial statements, the results and financial position of each Group 
company are expressed in pounds sterling, which is the functional 
currency of the Company, and the presentation currency for these 
financial statements.","For the purpose of these Group financial statements, the results and financial position of each Group company are expressed in pounds sterling, which is the functional currency of the Company, and the presentation currency for these financial statements.",166,30.894215,currency
"Foreign currency risk management continued
The Group faces currency exposures arising from the translation of profits earned in foreign currency.",Foreign currency risk management continued The Group faces currency exposures arising from the translation of profits earned in foreign currency.,145,33.27289,"risk, foreign, currency"
"Foreign currency risk management
The Group’s presentational currency is sterling.",Foreign currency risk management The Group’s presentational currency is sterling.,144,38.474148,"risk, currency"
"US dollar borrowings held by the Group are treated as a net investment hedge against the 
US dollar assets of the Group.",US dollar borrowings held by the Group are treated as a net investment hedge against the US dollar assets of the Group.,144,39.661182,hedge
"The financial statements are presented in pounds sterling, being the 
currency of the primary economic environment in which the Group 
operates, and rounded to the nearest £0.1m.","The financial statements are presented in pounds sterling, being the currency of the primary economic environment in which the Group operates, and rounded to the nearest £0.1m.",163,39.708862,currency
"Exposures also 
arise from foreign currency denominated trading transactions undertaken by subsidiaries deemed transactional exposures.",Exposures also arise from foreign currency denominated trading transactions undertaken by subsidiaries deemed transactional exposures.,145,39.878044,"currency, foreign"
"The Group is subject to exposure on the translation of the assets of foreign subsidiaries, whose 
functional currencies differ from the Group.","The Group is subject to exposure on the translation of the assets of foreign subsidiaries, whose functional currencies differ from the Group.",144,40.02893,"currencies, foreign, exposure"
"The Group’s policy is to 
hedge transactional exposures above £250,000 in the banking market on a one-to-one basis using forward contracts.","The Group’s policy is to hedge transactional exposures above £250,000 in the banking market on a one-to-one basis using forward contracts.",145,41.447926,"forward, hedge"
"The Group does not apply hedge accounting 
and the Group’s customers are generally governments that are considered creditworthy and pay consistently within agreed payment terms.",The Group does not apply hedge accounting and the Group’s customers are generally governments that are considered creditworthy and pay consistently within agreed payment terms.,145,42.65564,hedge
"In preparing the financial statements of each Group company, transactions 
in foreign currencies, being currencies other than the entity’s functional 
currency, are recorded at the rates of exchange prevailing on the dates of 
the transactions.","In preparing the financial statements of each Group company, transactions in foreign currencies, being currencies other than the entity’s functional currency, are recorded at the rates of exchange prevailing on the dates of the transactions.",166,43.25653,"currencies, foreign"
The following table details the Group’s sensitivity to a 10 cent movement in the US dollar rate against sterling with regards to its income statement.,The following table details the Group’s sensitivity to a 10 cent movement in the US dollar rate against sterling with regards to its income statement.,146,43.549877,rate
"FOREIGN CURRENCIES
The individual financial statements of each Group company are presented 
in its functional currency, being the currency of the primary economic 
environment in which it operates.","FOREIGN CURRENCIES The individual financial statements of each Group company are presented in its functional currency, being the currency of the primary economic environment in which it operates.",166,43.878998,currency
"Below £250,000, the exposures 
are netted across subsidiaries and any surplus or deficit hedged in the banking market using spot or forward contracts.","Below £250,000, the exposures are netted across subsidiaries and any surplus or deficit hedged in the banking market using spot or forward contracts.",145,44.10046,forward
"- Hedging policy applied for significant 

foreign transactions.",- Hedging policy applied for significant foreign transactions.,70,44.63877,foreign
"Hedges of net investments in foreign operations
Any gain or loss on the hedging instrument relating to the effective portion 
of the hedge is recognised in the statement of comprehensive income and 
accumulated in the translation reserve.",Hedges of net investments in foreign operations Any gain or loss on the hedging instrument relating to the effective portion of the hedge is recognised in the statement of comprehensive income and accumulated in the translation reserve.,167,45.095524,"foreign, hedging, hedge"
"The Group does not apply hedge accounting for derivative financial 
instruments, with changes in the fair value of derivatives being recognised in 
the income statement immediately.","The Group does not apply hedge accounting for derivative financial instruments, with changes in the fair value of derivatives being recognised in the income statement immediately.",167,45.76802,"hedge, derivatives"
"The other functional currencies used in the Group (Norwegian krone and Australian dollars) are not significant enough to have a material impact 
on the Group results in the event of a reasonably possible change to their exchange rates.",The other functional currencies used in the Group (Norwegian krone and Australian dollars) are not significant enough to have a material impact on the Group results in the event of a reasonably possible change to their exchange rates.,146,46.016033,currencies
The Group considers a 10 cent strengthening or weakening of US dollars against sterling as a reasonably possible change in foreign exchange rates.,The Group considers a 10 cent strengthening or weakening of US dollars against sterling as a reasonably possible change in foreign exchange rates.,146,46.162453,foreign
"(C) FINANCIAL RISK MANAGEMENT
The primary risks that the Group is exposed to are liquidity risk, foreign currency risk, interest rate risk and credit risk.","(C) FINANCIAL RISK MANAGEMENT The primary risks that the Group is exposed to are liquidity risk, foreign currency risk, interest rate risk and credit risk.",144,46.482006,"risk, foreign, currency, rate, risks"
"The translation reserve comprises all foreign currency differences arising from the translation of the financial statements of foreign operations and the 
accumulation of gains or losses from the effective portion of hedges of net investments in foreign operations.",The translation reserve comprises all foreign currency differences arising from the translation of the financial statements of foreign operations and the accumulation of gains or losses from the effective portion of hedges of net investments in foreign operations.,148,46.648777,"currency, foreign, hedges"
"On a constant currency 
basis revenue would have decreased by 3% to £256.5m and operating 
profit would have been up 5% to £41.9m.",On a constant currency basis revenue would have decreased by 3% to £256.5m and operating profit would have been up 5% to £41.9m.,39,47.54573,currency
"FINANCIAL INSTRUMENTS 
The following table details the fair value of derivative financial instrument assets/(liabilities) recognised in the balance sheet:

Included in current assets
Included in current liabilities
Forward foreign exchange contracts

2021
£m
1.0
(0.4)
0.6

2020
£m
0.4
(0.7)
(0.3)

There was a £0.7m gain (2020: £0.5m gain) on the movement in the fair value of derivative financial instruments recognised in the income statement.",FINANCIAL INSTRUMENTS The following table details the fair value of derivative financial instrument assets/(liabilities) recognised in the balance sheet: Included in current assets Included in current liabilities Forward foreign exchange contracts 2021 £m 1.0 (0.4) 0.6 2020 £m 0.4 (0.7) (0.3) There was a £0.7m gain (2020: £0.5m gain) on the movement in the fair value of derivative financial instruments recognised in the income statement.,145,47.909096,"foreign, contracts"
"On a constant currency basis the Group’s revenue was up 1% to £408.0m, underlying operating profit was up 10% to 
£60.1m and underlying earnings per share was up 17% to 17.7p.","On a constant currency basis the Group’s revenue was up 1% to £408.0m, underlying operating profit was up 10% to £60.1m and underlying earnings per share was up 17% to 17.7p.",60,48.01254,currency
"On a constant currency basis the Group’s revenue was up 1% to 
£408.0m, underlying operating profit was up 10% to £60.1m and 
underlying earnings per share was up 17% to 17.7p.","On a constant currency basis the Group’s revenue was up 1% to £408.0m, underlying operating profit was up 10% to £60.1m and underlying earnings per share was up 17% to 17.7p.",17,48.01254,currency
"The main risks addressed by financial instruments are 
liquidity risk, foreign currency risk, interest rate risk and credit risk.","The main risks addressed by financial instruments are liquidity risk, foreign currency risk, interest rate risk and credit risk.",144,48.168293,"risk, foreign, currency, rate, risks"
"The US dollar weakened in the year with the average exchange rate to 
sterling increasing from $1.28 to $1.38, resulting in a significant headwind 
as 53% of the Group’s revenue was US dollar denominated (2020: 54%).","The US dollar weakened in the year with the average exchange rate to sterling increasing from $1.28 to $1.38, resulting in a significant headwind as 53% of the Group’s revenue was US dollar denominated (2020: 54%).",17,48.7231,rate
