text_raw,text_partial_preprocessed,page_num,cosine_similarity_score,relevant_keywords
"Foreign currency risk
The Company invests in financial instruments and enters into transactions denominated in currencies other than its functional currency.",Foreign currency risk The Company invests in financial instruments and enters into transactions denominated in currencies other than its functional currency.,68,33.584465,"risk, currency, currencies"
"Consequently, the Company is exposed to risks that the exchange rate of its functional currency relative to other foreign currencies may 
change in a manner that has an adverse effect on the value of that portion of the Company’s assets or liabilities denominated in currencies 
other than US dollars (functional currency) or UK Sterling (the currency in which shares are traded on the London Stock Exchange).","Consequently, the Company is exposed to risks that the exchange rate of its functional currency relative to other foreign currencies may change in a manner that has an adverse effect on the value of that portion of the Company’s assets or liabilities denominated in currencies other than US dollars (functional currency) or UK Sterling (the currency in which shares are traded on the London Stock Exchange).",68,35.726593,"currencies, foreign, currency, rate, risks"
"hedge the underlying currencies of the 
holdings in the portfolio but will take 
currency risk into consideration when 
making investment decisions.",hedge the underlying currencies of the holdings in the portfolio but will take currency risk into consideration when making investment decisions.,31,38.279716,"risk, currency, currencies, hedge"
"Currency exposure of financial assets
The Company’s financial assets comprise of investments, positions on derivative instruments, short-term debtors and cash and cash 
equivalents.","Currency exposure of financial assets The Company’s financial assets comprise of investments, positions on derivative instruments, short-term debtors and cash and cash equivalents.",68,40.373627,exposure
"Financial Instruments continued
Currency exposure of financial liabilities
The Company finances its investment activities through its ordinary share capital and reserves.",Financial Instruments continued Currency exposure of financial liabilities The Company finances its investment activities through its ordinary share capital and reserves.,69,41.124454,exposure
"At 30 June 2022, had the average exchange rate of the US 
dollar weakened by a reasonable possible movement of 5% (2021: 5%) in relation to the basket of currencies in which the Company’s 
net assets are denominated, weighted by the Company’s exposure to each currency with all other variables held constant, the 
Company estimates the loss after taxation for the year would have decreased and net assets would have increased by $35,238,000 
(2021: increased the profit after taxation for the year and increased the net assets of the Company by $67,503,000).","At 30 June 2022, had the average exchange rate of the US dollar weakened by a reasonable possible movement of 5% (2021: 5%) in relation to the basket of currencies in which the Company’s net assets are denominated, weighted by the Company’s exposure to each currency with all other variables held constant, the Company estimates the loss after taxation for the year would have decreased and net assets would have increased by $35,238,000 (2021: increased the profit after taxation for the year and increased the net assets of the Company by $67,503,000).",70,41.229027,"currencies, currency, rate, exposure"
"The financial statements, 
results and financial position of the Company are also expressed in US dollars which is the presentation currency of the Company and 
have been rounded to the nearest thousand unless otherwise stated.","The financial statements, results and financial position of the Company are also expressed in US dollars which is the presentation currency of the Company and have been rounded to the nearest thousand unless otherwise stated.",57,41.732372,currency
"The Company uses
ﬁnancial derivative instruments for investment purposes,
which may expose it to a higher degree of risk and can
cause investments to experience larger than average
price ﬂuctuations.","The Company uses ﬁnancial derivative instruments for investment purposes, which may expose it to a higher degree of risk and can cause investments to experience larger than average price ﬂuctuations.",2,41.85504,risk
"Three principal areas have been identified where foreign currency risk could impact the Company:

•  movements in currency exchange rates affecting the value of investments and derivatives exposures;

•  movements in currency exchange rates affecting short-term timing differences, for example, between the date when an investment 

is bought or sold and the date when settlement of the transaction occurs; and 

•  movements in currency exchange rates affecting income received.","Three principal areas have been identified where foreign currency risk could impact the Company: • movements in currency exchange rates affecting the value of investments and derivatives exposures; • movements in currency exchange rates affecting short-term timing differences, for example, between the date when an investment is bought or sold and the date when settlement of the transaction occurs; and • movements in currency exchange rates affecting income received.",68,41.93443,"risk, foreign, currency, derivatives"
"27

Y
G
E
T
A
R
T
S

Principal Risks
Foreign Currency 
Exposure Risk

Risk Description and Impact
•  The functional currency in which the 

Risk Mitigation
•  The Portfolio Manager does not 

Trend
Stable

Company reports its results is US dollars, 
whilst the underlying investments are in 
different currencies.","27 Y G E T A R T S Principal Risks Foreign Currency Exposure Risk Risk Description and Impact • The functional currency in which the Risk Mitigation • The Portfolio Manager does not Trend Stable Company reports its results is US dollars, whilst the underlying investments are in different currencies.",31,43.156403,currency
