text_raw,text_partial_preprocessed,page_num,cosine_similarity_score,relevant_keywords
"The Group does not use derivatives for speculative purposes and all transactions are undertaken to manage the risks arising from underlying 
business activities.",The Group does not use derivatives for speculative purposes and all transactions are undertaken to manage the risks arising from underlying business activities.,80,35.774395,"risks, derivatives"
"As the Group holds a sterling-denominated debt facility and generates significant foreign currency cash 
flows, the Board considers it appropriate in certain cases to use derivative financial instruments as part of its day-to-day cash management to 
reduce the Group’s exposure to foreign exchange risk.","As the Group holds a sterling-denominated debt facility and generates significant foreign currency cash flows, the Board considers it appropriate in certain cases to use derivative financial instruments as part of its day-to-day cash management to reduce the Group’s exposure to foreign exchange risk.",79,37.31808,"currency, foreign, exposure"
The Group’s exposure to foreign currency translation is primarily in respect of the euro and the Australian dollar.,The Group’s exposure to foreign currency translation is primarily in respect of the euro and the Australian dollar.,78,37.707672,"currency, foreign, exposure"
The Group does not use derivatives to hedge balance sheet and income statement translation exposure.,The Group does not use derivatives to hedge balance sheet and income statement translation exposure.,79,38.080032,"hedge, derivatives"
"The Group does not use 
derivatives to hedge balance sheet and 
income statement translation exposure.",The Group does not use derivatives to hedge balance sheet and income statement translation exposure.,29,38.080032,"hedge, derivatives"
The Group’s operating profit exposure to foreign currency translation is primarily in respect of the euro and the Australian dollar.,The Group’s operating profit exposure to foreign currency translation is primarily in respect of the euro and the Australian dollar.,79,38.61885,"currency, foreign, exposure"
"Derivative financial instruments
(In £s million)
Net derivative asset

2021 
–

2020 
0.1

As set out in note 19 to the Consolidated Financial Statements and in the Treasury management section of the Finance Director’s Review on  
page 47, in certain cases the Group uses derivative financial instruments to manage its foreign exchange exposures as part of its day-to-day  
cash management.","Derivative financial instruments (In £s million) Net derivative asset 2021 – 2020 0.1 As set out in note 19 to the Consolidated Financial Statements and in the Treasury management section of the Finance Director’s Review on page 47, in certain cases the Group uses derivative financial instruments to manage its foreign exchange exposures as part of its day-to-day cash management.",80,39.33949,foreign
"As at 30 June 2021, the Group had entered into no forward exchange contract arrangements with a counterparty bank (2020: three forward 
contracts).","As at 30 June 2021, the Group had entered into no forward exchange contract arrangements with a counterparty bank (2020: three forward contracts).",80,39.774487,forward
"The Group held no 
foreign exchange contracts at 30 June 2021 (2020: three) to facilitate 
cash management within the Group.",The Group held no foreign exchange contracts at 30 June 2021 (2020: three) to facilitate cash management within the Group.,72,40.780334,"foreign, contracts"
"The Consolidated Financial Statements are presented in sterling, 
the functional currency of Hays plc.","The Consolidated Financial Statements are presented in sterling, the functional currency of Hays plc.",70,41.11834,currency
"It is the Group’s policy to limit its exposure  
to interest rates by selectively hedging 
interest rate risk using derivative financial 
instruments.",It is the Group’s policy to limit its exposure to interest rates by selectively hedging interest rate risk using derivative financial instruments.,29,41.23293,"risk, rate, hedging, exposure"
"As the Group holds a 
sterling-denominated debt facility and 
generates significant foreign currency cash 
flows, the Board considers it appropriate  
in certain cases to use derivative financial 
instruments as part of its day-to-day cash 
management.","As the Group holds a sterling-denominated debt facility and generates significant foreign currency cash flows, the Board considers it appropriate in certain cases to use derivative financial instruments as part of its day-to-day cash management.",29,42.482864,"currency, foreign"
"Fluctuations in the rates of the Group’s key 
operating currencies versus sterling continue 
to represent a significant sensitivity for  
the reported performance of our business.",Fluctuations in the rates of the Group’s key operating currencies versus sterling continue to represent a significant sensitivity for the reported performance of our business.,28,42.628284,currencies
"Significant accounting policies continued
s. Derivative financial instruments
The Group may use certain derivative financial instruments to reduce 
its exposure to foreign exchange movements.",Significant accounting policies continued s. Derivative financial instruments The Group may use certain derivative financial instruments to reduce its exposure to foreign exchange movements.,72,42.688984,"exposure, foreign"
"Operating proﬁt(3)
£m

Conversion rate(4)
%

250

200

150

100

50

0

243.4

248.8

211.5

181.0

135.0

95.1

FY16

FY17

FY18
 Conversion rate

FY19

FY20

FY21

25

20

15

10

5

0

Foreign exchange
Overall, net currency movements versus 
sterling positively impacted results in the  
year, increasing net fees by £1.1 million, and 
operating profit by £2.6 million.","Operating proﬁt(3) £m Conversion rate(4) % 250 200 150 100 50 0 243.4 248.8 211.5 181.0 135.0 95.1 FY16 FY17 FY18 Conversion rate FY19 FY20 FY21 25 20 15 10 5 0 Foreign exchange Overall, net currency movements versus sterling positively impacted results in the year, increasing net fees by £1.1 million, and operating profit by £2.6 million.",28,45.71556,"currency, rate"
