text_raw,text_partial_preprocessed,page_num,cosine_similarity_score,relevant_keywords
"In the year ended 31 May 
2021, the Group recognised a £7.9 million unrealised foreign exchange loss in net trading revenue as a result of this hedge.","In the year ended 31 May 2021, the Group recognised a £7.9 million unrealised foreign exchange loss in net trading revenue as a result of this hedge.",155,36.493603,foreign
"The Group’s 
foreign currency exposure on its financial assets and liabilities denominated in currencies other than the reporting currency 
is included in the trading book 

non-trading interest rate risk
The Group has interest rate risk relating to financial instruments not held at fair value through profit or loss.",The Group’s foreign currency exposure on its financial assets and liabilities denominated in currencies other than the reporting currency is included in the trading book non-trading interest rate risk The Group has interest rate risk relating to financial instruments not held at fair value through profit or loss.,153,39.981873,"risk, currencies, foreign, currency, exposure, rate"
"The Group uses derivative financial instruments in order to hedge derivative exposures arising from open client 
positions, which are also classified as fair value through profit and loss.","The Group uses derivative financial instruments in order to hedge derivative exposures arising from open client positions, which are also classified as fair value through profit and loss.",163,41.506966,hedge
"Significant accounting policies conTInuEd
Foreign currencies
The Group’s presentational currency is sterling.",Significant accounting policies conTInuEd Foreign currencies The Group’s presentational currency is sterling.,159,41.54672,"currencies, currency"
"The Group accepts 
some residual market risk to facilitate instant execution of client trades but does not take proprietary positions for the 
purposes of speculative gain.",The Group accepts some residual market risk to facilitate instant execution of client trades but does not take proprietary positions for the purposes of speculative gain.,154,45.271698,risk
"Monetary assets and liabilities 
denominated in foreign currencies are revalued at the Group’s presentational currency rate of exchange prevailing at the 
balance sheet date.",Monetary assets and liabilities denominated in foreign currencies are revalued at the Group’s presentational currency rate of exchange prevailing at the balance sheet date.,159,45.586414,"currencies, foreign, rate, currency"
"The Group purchases and sells cryptocurrencies as part 
of its hedging activity.",The Group purchases and sells cryptocurrencies as part of its hedging activity.,165,47.412228,hedging
"The analysis is based on the assumption that the yield curve of financial investments moved upwards 
by 1% with all other variables held constant:

Impact:
decrease in FVocI reserve (equity)

Year ended 
31 May 2021
£m
(3.1)

Year ended 
31 May 2020
£m
(1.7)

The Group is also exposed to price and foreign currency risk in relation to its net trading book position.",The analysis is based on the assumption that the yield curve of financial investments moved upwards by 1% with all other variables held constant: Impact: decrease in FVocI reserve (equity) Year ended 31 May 2021 £m (3.1) Year ended 31 May 2020 £m (1.7) The Group is also exposed to price and foreign currency risk in relation to its net trading book position.,154,47.594135,"risk, foreign, currency"
"We 
manage this by applying our 
liquidity risk Management policy.",We manage this by applying our liquidity risk Management policy.,53,47.65087,risk
"The interest rate risk profile of the Group’s financial assets and liabilities at each year-end was as follows:

Fixed rate:
Financial assets pledged as collateral
Financial investments
Floating rate:
cash and cash equivalents
Trade receivables – due from brokers
Trade receivables – own funds in client 
money
Borrowings

Within 1 year

Between 2 and 5 years

Total

31 May 2021
£m

31 May 2020
£m

31 May 2021
£m

31 May 2020
£m

31 May 2021
£m

31 May 2020
£m

26.0
127.4

655.2
424.3
63.3

–
1,296.2

9.9
130.6

486.2
274.8
66.5

–
968.0

61.1
127.6

–
–
–

(98.8)
89.9

-
83.8

–
–
–

87.1
255.0

655.2
424.3
63.3

(99.7)
(15.9)

(98.8)
1,386.1

9.9
214.4

486.2
274.8
66.5

(99.7)
952.1

There are no financial assets and liabilities which are held for a period over five years.","The interest rate risk profile of the Group’s financial assets and liabilities at each year-end was as follows: Fixed rate: Financial assets pledged as collateral Financial investments Floating rate: cash and cash equivalents Trade receivables – due from brokers Trade receivables – own funds in client money Borrowings Within 1 year Between 2 and 5 years Total 31 May 2021 £m 31 May 2020 £m 31 May 2021 £m 31 May 2020 £m 31 May 2021 £m 31 May 2020 £m 26.0 127.4 655.2 424.3 63.3 – 1,296.2 9.9 130.6 486.2 274.8 66.5 – 968.0 61.1 127.6 – – – (98.8) 89.9 - 83.8 – – – 87.1 255.0 655.2 424.3 63.3 (99.7) (15.9) (98.8) 1,386.1 9.9 214.4 486.2 274.8 66.5 (99.7) 952.1 There are no financial assets and liabilities which are held for a period over five years.",153,47.66408,"risk, rate"
