text_raw,text_partial_preprocessed,page_num,cosine_similarity_score,relevant_keywords
Any income denominated in foreign currency is converted into sterling on receipt.,Any income denominated in foreign currency is converted into sterling on receipt.,100,26.28779,"currency, foreign"
"The company does not hedge against 
foreign currency exposure.",The company does not hedge against foreign currency exposure.,100,26.388096,"currency, foreign, hedge"
"(iii) Foreign Currency Risk
Foreign currency risk is the risk of the movement in the values of overseas financial instruments as a result of fluctuations 
in exchange rates.",(iii) Foreign Currency Risk Foreign currency risk is the risk of the movement in the values of overseas financial instruments as a result of fluctuations in exchange rates.,100,29.367357,"risk, currency"
"Management of foreign currency risk
The company invests predominantly in UK listed equities and although there is no direct impact there is implicit exposure 
as some of the companies in the portfolio generate income and cashflows in foreign currencies.",Management of foreign currency risk The company invests predominantly in UK listed equities and although there is no direct impact there is implicit exposure as some of the companies in the portfolio generate income and cashflows in foreign currencies.,100,37.695217,"risk, foreign, currency, exposure"
"Transactions in foreign currencies 
are translated into pounds sterling at the rates of exchange 
ruling on the date of the transaction.",Transactions in foreign currencies are translated into pounds sterling at the rates of exchange ruling on the date of the transaction.,90,38.210976,"currencies, foreign"
"Foreign currency 
monetary assets and liabilities are translated into sterling 
at the rates of exchange ruling at the balance sheet date.",Foreign currency monetary assets and liabilities are translated into sterling at the rates of exchange ruling at the balance sheet date.,90,41.47836,currency
"The functional and reporting 
currency is pounds sterling.",The functional and reporting currency is pounds sterling.,90,41.91289,currency
"The company’s policy allows the use of derivative financial instruments to moderate risk exposure 
and to generate additional revenue.",The company’s policy allows the use of derivative financial instruments to moderate risk exposure and to generate additional revenue.,99,44.719585,"risk, exposure"
"(a) Market Risk 
The manager assesses the exposure to market risk when making each investment decision, and monitors the risk on the 
investment portfolio on an ongoing basis.","(a) Market Risk The manager assesses the exposure to market risk when making each investment decision, and monitors the risk on the investment portfolio on an ongoing basis.",99,46.144127,"risk, exposure"
"Reserves

Balance at 1 February 2021

Gains on sales of fixed asset investments

Losses on derivative financial instruments

Net movement in fixed asset investment holding losses

Movement in derivative holding losses

Transaction costs

Losses on foreign currencies

Transfer on sale of investments

Issue of ordinary shares

Investment management fee

Finance costs of borrowings

Other capital expenses

Dividends appropriated in the year

Profit retained for the year

Balance at 31 January 2022

Capital Reserve

Share  
Premium 
Account 
£’000s

 84,137 

Capital 
Redemption 
Reserve
£’000s

Gains (losses)
on sales of  
Investments
£’000s

Investment 
Holding  
Gains (losses)
£’000s

 293 

 448,973 

(31,034)

Revenue 
Reserve
£’000s

 22,102 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 33,910 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 182,440 

(89)

 - 

 - 

  (1,196)  

 - 

 - 

 - 

(26,366)

(542)

- 

(2)

(137,193)

 137,193 

 - 

(1,728)

(2,102)

(2)

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 118,047 

 293 

 489,103 

 79,249 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

 - 

(33,505)

 31,835 

 20,432 

Distributions can be made from both the capital and revenue reserves.","Reserves Balance at 1 February 2021 Gains on sales of fixed asset investments Losses on derivative financial instruments Net movement in fixed asset investment holding losses Movement in derivative holding losses Transaction costs Losses on foreign currencies Transfer on sale of investments Issue of ordinary shares Investment management fee Finance costs of borrowings Other capital expenses Dividends appropriated in the year Profit retained for the year Balance at 31 January 2022 Capital Reserve Share Premium Account £’000s 84,137 Capital Redemption Reserve £’000s Gains (losses) on sales of Investments £’000s Investment Holding Gains (losses) £’000s 293 448,973 (31,034) Revenue Reserve £’000s 22,102 - - - - - - - 33,910 - - - - - - - - - - - - - - - - - - 182,440 (89) - - (1,196) - - - (26,366) (542) - (2) (137,193) 137,193 - (1,728) (2,102) (2) - - - - - - - - 118,047 293 489,103 79,249 - - - - - - - - - - - (33,505) 31,835 20,432 Distributions can be made from both the capital and revenue reserves.",98,47.838173,"currencies, foreign"
