text_raw,text_partial_preprocessed,page_num,cosine_similarity_score,relevant_keywords
"The Group primarily uses forward 
foreign currency contracts to manage its exposure to changes in 
foreign exchange rates.",The Group primarily uses forward foreign currency contracts to manage its exposure to changes in foreign exchange rates.,112,21.37885,"foreign, currency, contracts, forward, exposure"
"The Group uses forward foreign exchange contracts to hedge significant future transactions and cash flows denominated in 
currencies other than pounds sterling.",The Group uses forward foreign exchange contracts to hedge significant future transactions and cash flows denominated in currencies other than pounds sterling.,141,25.140987,"currencies, foreign, contracts, forward, hedge"
"Financial instruments (continued)
Foreign currency risk
Foreign exchange rate risk is the risk that the fair value of future cash flows of a financial instrument will fluctuate because of the 
changes in foreign exchange rates.",Financial instruments (continued) Foreign currency risk Foreign exchange rate risk is the risk that the fair value of future cash flows of a financial instrument will fluctuate because of the changes in foreign exchange rates.,141,29.451675,"risk, foreign, rate, currency"
"In order to hedge its exposure to certain foreign exchange risks, 
the Group enters into forward contracts (see below for details of 
the Group’s accounting policies in respect of such derivative 
financial instruments).","In order to hedge its exposure to certain foreign exchange risks, the Group enters into forward contracts (see below for details of the Group’s accounting policies in respect of such derivative financial instruments).",111,32.858315,"foreign, contracts, forward, hedge, exposure"
"The fair value of cash flow hedges recognised on the balance sheet within derivative assets/liabilities is shown below:

£m
Fair value of derivative assets

2021
–

2020
–

At 31 August 2021, the total notional amount of outstanding forward foreign exchange contracts to which the Group has committed is 
US$25m (2020: US$15m).","The fair value of cash flow hedges recognised on the balance sheet within derivative assets/liabilities is shown below: £m Fair value of derivative assets 2021 – 2020 – At 31 August 2021, the total notional amount of outstanding forward foreign exchange contracts to which the Group has committed is US$25m (2020: US$15m).",141,33.154602,"foreign, hedges, contracts, forward"
"The Group does not use derivatives to hedge balance 
sheet and profit and loss translation exposure.",The Group does not use derivatives to hedge balance sheet and profit and loss translation exposure.,141,38.320915,"hedge, derivatives"
"The Group’s foreign currency exposures are principally to the US dollar, Euro and Australian dollar.","The Group’s foreign currency exposures are principally to the US dollar, Euro and Australian dollar.",141,38.46249,"currency, foreign"
"The hedging instruments have been used to hedge purchases in US dollars and to minimise 
foreign exchange risk in movements of the USD/GBP exchange rates.",The hedging instruments have been used to hedge purchases in US dollars and to minimise foreign exchange risk in movements of the USD/GBP exchange rates.,141,42.841255,"risk, foreign, hedging, hedge"
"Treasury, financial and credit risk management

The Group’s exposure to and management of capital, 
liquidity, credit, interest rate and foreign currency risk 
are analysed further in Note 22 on page 137 of the 
financial statements.","Treasury, financial and credit risk management The Group’s exposure to and management of capital, liquidity, credit, interest rate and foreign currency risk are analysed further in Note 22 on page 137 of the financial statements.",28,42.870342,"risk, foreign, currency, exposure, rate"
"The Group’s treasury function uses financial instruments to mitigate foreign exchange risk, in line with treasury policies approved by 
the Board.","The Group’s treasury function uses financial instruments to mitigate foreign exchange risk, in line with treasury policies approved by the Board.",141,42.931347,foreign
