source,text_raw,relevant
Tesco 2022,Foreign exchange risk ,1
Tesco 2022,"Transactional exposure that arises from the cost of future purchases of goods, where those purchases are denominated in a currency other than the functional currency of the purchasing company. ",1
Tesco 2022,Net investment exposure that arises from changes in the value of net investments denominated in currencies other than Pound Sterling. ,1
Tesco 2022,Loans to and from subsidiaries in currencies other than in the entity’s functional currency. ,1
Tesco 2022,Debt issued in a currency other than Pound Sterling. ,1
Tesco 2022,"Forward foreign currency contracts or purchased currency options, which are designated as cash flow hedges. ",1
Tesco 2022,The Group’s policy is to hedge currency exposure that could significantly impact the Group income statement with a minimum (20%) and maximum (80%) hedge level of forecast uncommitted exposure within at least the next 12 months. ,1
Tesco 2022,"Foreign currency derivatives and borrowings in matching currencies, which are formally designated as net investment hedges. ",1
Tesco 2022,The Group’s policy is to hedge a part of its investments in international subsidiaries. ,1
Tesco 2022,Foreign currency derivatives and borrowings in matching currencies. ,1
Tesco 2022,The Group’s policy is that 100% of the foreign exchange risk is hedged. ,1
Tesco 2022,These are not formally designated as accounting hedges as gains and losses will naturally offset in the income statement. ,1
Tesco 2022,Cross-currency swaps which swap the non-sterling debt back into a net sterling exposure. ,1
Tesco 2022,"The Group’s policy is to swap foreign currency debt back to Pound Sterling, unless there are appropriate matching foreign currency assets. ",1
FirstGroup 2022,"The Group’s principal operations outside the UK are in the US and Canada, with the US being the most significant. ",1
FirstGroup 2022,"Consequently, the principal currency risk relates to movements in the US Dollar to pounds Sterling. ",1
FirstGroup 2022,"Following the disposal of Student, Transit and Greyhound, this exposure has been significantly reduced. ",1
FirstGroup 2022,"‘Certain’ and ‘highly probable’ foreign currency transaction exposures may be hedged at the time the exposure arises for up to two years at specified levels, or longer if there is a very high degree of certainty. ",1
FirstGroup 2022,The Group is also exposed to currency risk relating to its UK fuel costs which are denominated in USD. ,1
FirstGroup 2022,This is hedged through entering a series of average rate forward contracts on a similar profile to our fuel hedging programme. ,1
FirstGroup 2022,"The Group does not hedge the translation of earnings into the Group reporting currency (pounds Sterling), but accepts that reported Group earnings will fluctuate as exchange rates against pounds Sterling fluctuate for the currencies in which the Company does business. ",1
FirstGroup 2022,"During the year, the net cash generated in each currency may be converted by Group Treasury into pounds Sterling by way of spot transactions in order to keep the currency composition of net debt broadly constant. ",1
Marks&Spencer 2022,Group Treasury hedges these exposures principally using forward foreign exchange contracts progressively based on dynamic forecasts from the business. ,1
Marks&Spencer 2022,"Hedging begins around 14 months ahead of the start of the season, with between 80% and 100% of the risk hedged eight months before the start of the season. ",1
Marks&Spencer 2022,"In accordance with the Group’s treasury policy, hedges are entered into by business line and by season. ",1
Marks&Spencer 2022,Other exposures arising from the export of goods to overseas subsidiaries are also hedged progressively over the course of the year before they are incurred. ,1
Marks&Spencer 2022,"As at the balance sheet date, the gross notional value in sterling terms of forward foreign exchange sell or buy contracts amounted to £1,865.7m (last year: £1,776.6m) with a weighted average maturity date of six months (last year: six months). ",1
Marks&Spencer 2022,The Group also holds a number of cross-currency swaps to designate its fixed rate US dollar debt to fixed rate sterling debt.,1
Marks&Spencer 2022,The Group also hedges foreign currency intercompany loans where these exist.,1
Marks&Spencer 2022,"As at the balance sheet date and excluding lease liabilities, post-hedging the GBP and USD fixed rate borrowings are at an average rate of 5.1% (last year: 5.3%) and the weighted average time for which the rate is fixed is five years (last year: six years).",1
Hammerson 2021,"Derivative financial instruments are used to manage exposure to fluctuations in foreign currency exchange rates and interest rates, but are not employed for speculative purposes.",1
Hammerson 2021,"To manage the foreign currency exposure on its net investments in euro-denominated entities, the Group has designated all euro borrowings or synthetic euro borrowings, including euro-denominated bonds, senior notes and currency swaps, as net investment hedges.",1
Hammerson 2021,"To manage the impact of foreign exchange movements on the Group’s $115 million US dollar borrowings (2020: $392 million), the Group has used derivatives at an average hedged exchange rate of £1 = $1.439 (2020: £1 = $1.418), to swap all the cash flows to either euro or sterling, the sterling element of which is designated as a cash flow hedge.",1
Hammerson 2021,"At 31 December 2021, the carrying value of derivatives designated in a cash flow hedge was an asset of £6.7 million (2020: £13.9 million).",1
IWG 2021,"The Group's global operations expose it to a variety of financial risks, including the effects of changes in foreign currency exchange rates.",1
IWG 2021,"In particular, the Group’s substantial US operations generate revenue in USD and therefore any currency volatility can impact revenue.",1
IWG 2021,"The principal exposures of the Group are to the US dollar and the euro, with approximately 35% (2020: 37%) of the Group’s revenue being attributable to the US dollar and 23% (2020: 22%) to the euro.",1
IWG 2021,From time to time the Group uses short-term derivative financial instruments to manage its transactional foreign exchange exposures where these exposures cannot be eliminated through balancing the underlying risks.,1
IWG 2021,The Group does not undertake any speculative transactions to manage risk.,1
IWG 2021,"Given that transactions generally take place in the functional currency of Group companies, the Group’s exposure to transactional foreign exchange risk is limited.",1
IWG 2021,"Where possible, the Group attempts to create natural hedges against currency exposures through matching income and expenses, and assets and liabilities, in the same currency.",1
Wood 2021,The Group is exposed to foreign exchange risk arising from various currencies,1
Wood 2021,The Group has subsidiary companies whose revenue and expenses are denominated in currencies other than the US dollar.,1
Wood 2021,"Where possible, the Group’s policy is to eliminate all significant currency exposures at the time of the transaction by using financial instruments such as forward currency contracts.",1
Wood 2021,A net foreign exchange loss of $0.9m (2020: $1.6m) was recognised in the hedging reserve as a result of fair value movements on forward contracts and currency swaps designated as cash flow hedges.,1
Wood 2021,The Group’s largest foreign exchange risk relates to movements in the sterling/US dollar exchange rate.,1
Wood 2021,"The Group also has foreign exchange risk in relation a number of other currencies, such as the Australian dollar, the Canadian dollar and the Euro.",1
AJBell 2021,The Group is not exposed to significant foreign exchange translation or transaction risk as the Group’s activities are primarily within the UK.,1
AJBell 2021,Foreign exchange risk is therefore not considered material.,1
Volution Group 2021,The Group uses forward foreign currency contracts to reduce exposure to foreign exchange risk.,1
Volution Group 2021,"The Group’s purchases in foreign currencies, net of Group sales in those currencies, represent approximately 17% (2020: less than 9%) of total material and component purchases. ",1
Volution Group 2021,Each quarter the Group enters into forward exchange contracts for the purchase of the budgeted monthly net expenditure in US Dollars for the following rolling 12–15 months.,1
Volution Group 2021,The Euro and Swedish Krona denominated loans at 31 December 2020 have been designated as a hedge of the net investments in the subsidiaries in Europe and the Nordics.,1
